Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1922,-0.29,-0.28,-0.31,-0.25,-0.33,-0.28,-0.29,-0.4,-0.15,-0.32,-0.34,-0.25,-0.28,-0.29
1923,-0.27,-0.22,-0.32,-0.15,-0.3,-0.34,0.18,-0.14,-0.26,-0.32,-0.29,-0.27,-0.41,-0.56
1924,-0.28,-0.19,-0.36,-0.14,-0.26,-0.44,0.46,-0.24,-0.24,-0.27,-0.26,-0.4,-0.45,-0.54
1925,-0.23,-0.14,-0.31,-0.04,-0.25,-0.38,-0.07,0.19,-0.19,-0.28,-0.22,-0.25,-0.55,-0.87
1926,-0.11,0.02,-0.23,0.03,0.01,-0.41,0.59,0.17,-0.22,0,0.01,-0.35,-0.45,-0.65
1927,-0.23,-0.14,-0.31,-0.13,-0.17,-0.39,0.02,-0.21,-0.13,-0.15,-0.2,-0.31,-0.45,-1.39
1928,-0.21,-0.1,-0.3,-0.07,-0.16,-0.4,0.71,-0.16,-0.24,-0.15,-0.17,-0.29,-0.48,-2.13
1929,-0.37,-0.34,-0.39,-0.38,-0.29,-0.46,0.15,-0.61,-0.39,-0.28,-0.3,-0.43,-0.44,-1.09
1930,-0.16,-0.02,-0.3,0.04,-0.12,-0.43,0.53,0.04,-0.12,-0.1,-0.14,-0.33,-0.47,-2.61
1931,-0.1,0.05,-0.22,0.01,0.07,-0.43,0.57,-0.03,-0.15,0.1,0.04,-0.42,-0.4,-0.42
1932,-0.16,-0.06,-0.26,0.04,-0.17,-0.35,0.49,0.2,-0.22,-0.19,-0.15,-0.21,-0.53,-1
1933,-0.29,-0.26,-0.32,-0.24,-0.29,-0.35,-0.16,-0.46,-0.13,-0.29,-0.28,-0.22,-0.49,-1.16
1934,-0.13,0,-0.25,0.17,-0.25,-0.27,0.88,0.31,-0.13,-0.26,-0.24,-0.16,-0.38,-0.58
1935,-0.2,-0.1,-0.3,-0.05,-0.18,-0.38,0.35,-0.05,-0.17,-0.16,-0.2,-0.31,-0.42,-1.72
1936,-0.15,-0.04,-0.27,-0.03,-0.13,-0.3,0.4,0.11,-0.27,-0.05,-0.21,-0.27,-0.33,-0.04
1937,-0.03,0.12,-0.18,0.19,-0.05,-0.23,1.24,0.02,-0.03,0.01,-0.11,-0.19,-0.26,0.35
1938,-0.01,0.16,-0.19,0.38,-0.22,-0.1,1.51,0.38,0.02,-0.17,-0.28,-0.06,-0.11,-0.88
1939,-0.02,0.09,-0.13,0.22,-0.12,-0.13,0.57,0.28,0.07,-0.1,-0.14,-0.05,-0.19,-1.61
1940,0.12,0.17,0.09,0.11,0.28,-0.07,1.01,-0.02,-0.1,0.27,0.29,0.03,-0.2,-0.07
1941,0.18,0.23,0.16,0.01,0.49,-0.05,0,-0.1,0.07,0.55,0.44,0.03,-0.15,-0.48
1942,0.07,0.13,0,0.13,0.08,-0.01,0.74,-0.06,0.06,0.12,0.03,0.05,-0.05,-0.91
1943,0.09,0.18,-0.01,0.37,-0.08,0.03,1.41,0.27,0.1,-0.1,-0.07,0.07,-0.01,1.13
1944,0.2,0.27,0.14,0.38,0.19,0.05,1.17,0.46,0.09,0.11,0.26,0.18,-0.1,-0.91
1945,0.09,0.1,0.09,0.1,0.17,-0.03,0.62,-0.03,0.03,0.1,0.24,0.03,0,-1.74
1946,-0.08,0.03,-0.17,0.06,-0.05,-0.24,-0.03,-0.05,0.16,-0.02,-0.08,-0.22,-0.24,-0.14
1947,-0.03,0.08,-0.14,0.15,-0.06,-0.17,1.07,-0.13,0.04,-0.03,-0.1,-0.2,-0.08,-0.18
1948,-0.11,-0.02,-0.2,0.12,-0.18,-0.24,0.11,0.31,0,-0.22,-0.14,-0.2,-0.19,-1.35
1949,-0.11,-0.03,-0.2,0.11,-0.19,-0.23,0.2,0.16,0.04,-0.23,-0.15,-0.18,-0.15,-1.94
1950,-0.18,-0.15,-0.21,-0.05,-0.29,-0.15,0.2,-0.31,0.03,-0.3,-0.28,-0.06,-0.16,-0.86
1951,-0.07,0.04,-0.18,0.08,-0.06,-0.23,0.09,0.01,0.12,0,-0.12,-0.22,-0.16,-0.69
1952,0.01,0.06,-0.03,0.11,0.02,-0.09,0.27,-0.09,0.18,-0.01,0.05,-0.1,-0.02,-0.48
1953,0.08,0.24,-0.07,0.35,0.08,-0.18,1.01,0.35,0.14,0.08,0.07,-0.08,-0.24,-1.08
1954,-0.13,-0.02,-0.25,0.07,-0.21,-0.22,0.8,-0.21,0,-0.14,-0.28,-0.17,-0.2,-0.79
1955,-0.14,-0.09,-0.21,0.04,-0.34,-0.06,-0.24,-0.11,0.23,-0.3,-0.38,-0.16,-0.08,1.22
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0,0.01,-0.47,-0.09,-0.29,-0.37,-0.13,0.02,0.76
1957,0.05,0.04,0.06,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.48
1958,0.06,0.15,-0.02,0.08,0.21,-0.14,-0.16,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.47
1959,0.03,0.12,-0.06,0.16,0.08,-0.15,0.48,0.18,0.04,0.07,0.08,-0.03,-0.26,-0.33
1960,-0.02,0.08,-0.12,0.09,0.02,-0.19,0.34,-0.07,0.11,0.06,-0.02,-0.1,-0.07,-0.7
1961,0.06,0.08,0.03,0.19,-0.04,0.06,-0.15,0.38,0.18,-0.07,0,0.14,-0.17,0.25
1962,0.04,0.13,-0.06,0.24,-0.05,-0.06,0.45,0.31,0.14,-0.05,-0.05,0.09,-0.07,-0.55
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.13,0.1,-0.1,-0.17,-0.03
1964,-0.2,-0.19,-0.21,-0.23,-0.14,-0.25,-0.67,-0.2,-0.12,-0.14,-0.14,-0.3,-0.07,-0.4
1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.13,-0.27,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.02
1966,-0.06,-0.02,-0.1,-0.14,0.08,-0.16,-0.76,-0.19,0.09,0.16,-0.01,-0.23,-0.14,0.06
1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.27,-0.05,-0.11,-0.17,-0.09,-0.02,0.29
1968,-0.08,-0.07,-0.09,-0.1,-0.07,-0.08,-0.33,-0.02,-0.08,-0.02,-0.11,-0.14,0,-0.03
1969,0.06,-0.03,0.15,-0.29,0.34,0.03,-0.04,-0.61,-0.17,0.35,0.32,0,0.13,-0.08
1970,0.02,-0.04,0.09,-0.11,0.07,0.1,-0.21,-0.13,-0.06,0.07,0.07,0.11,0.03,0.25
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.12,-0.08,0.02,-0.1,-0.3,-0.22,0.03,0.16,0.4
1972,0.01,-0.17,0.19,-0.34,0.16,0.14,-0.37,-0.47,-0.24,0.06,0.26,0.16,-0.02,0.4
1973,0.16,0.09,0.22,0.11,0.18,0.18,0.07,0.27,0.02,0.08,0.29,0.22,0.07,0.32
1974,-0.07,-0.18,0.03,-0.14,-0.2,0.17,-0.19,-0.07,-0.18,-0.23,-0.17,0.22,-0.08,0.63
1975,-0.01,-0.05,0.02,0.12,-0.24,0.15,0.1,0.39,-0.05,-0.3,-0.17,0.13,0.14,0.25
1976,-0.1,-0.21,0,-0.26,-0.11,0.08,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.28
1977,0.18,0.12,0.24,0.14,0.16,0.25,0.16,0.24,0.07,0.09,0.22,0.21,0.31,0.24
